,States and selected areas:  Employment status,"of the civilian noninstitutional population, January 1976 to date,"
806,"New York city ............     5,643,000","3,066,271      54.3     2,743,460      48.6      322,811     10.5"
807,"North Carolina ..............     3,994,000","2,633,368      65.9     2,468,219      61.8      165,149      6.3"
808,"North Dakota ................       451,000","284,158      63.0       271,612      60.2       12,546      4.4"
809,"Ohio ........................     7,781,000","4,800,915      61.7     4,443,426      57.1      357,489      7.4"
810,"Oklahoma ....................     2,049,000","1,213,608      59.2     1,148,434      56.0       65,174      5.4"
811,"Oregon ......................     1,777,000","1,134,110      63.8     1,032,891      58.1      101,219      8.9"
812,"Pennsylvania ................     8,853,000","5,181,538      58.5     4,766,059      53.8      415,479      8.0"
813,"Rhode Island ................       702,000","443,229      63.1       405,469      57.8       37,760      8.5"
814,"South Carolina ..............     2,041,000","1,315,111      64.4     1,218,664      59.7       96,447      7.3"
815,"South Dakota ................       485,000","314,611      64.9       303,420      62.6       11,191      3.6"
816,"Tennessee ...................     3,161,000","1,919,175      60.7     1,791,995      56.7      127,180      6.6"
817,"Texas .......................     9,137,000","5,865,786      64.2     5,535,189      60.6      330,597      5.6"
818,"Utah ........................       855,000","541,806      63.4       512,411      59.9       29,395      5.4"
819,"Vermont .....................       348,000","222,749      64.0       205,682      59.1       17,067      7.7"
820,"Virginia ....................     3,634,000","2,376,572      65.4     2,239,812      61.6      136,760      5.8"
821,"Washington ..................     2,685,000","1,678,881      62.5     1,523,269      56.7      155,612      9.3"
822,"West Virginia ...............     1,385,000","706,061      51.0       657,281      47.5       48,780      6.9"
823,"Wisconsin ...................     3,300,000","2,172,078      65.8     2,054,967      62.3      117,111      5.4"
824,"Wyoming .....................       284,000","188,846      66.5       181,712      64.0        7,134      3.8"
825,,
826,,
827,,March 1977
828,,
829,,
830,"Alabama .....................     2,673,000","1,553,665      58.1     1,432,080      53.6      121,585      7.8"
831,"Alaska ......................       246,000","170,926      69.5       154,815      62.9       16,111      9.4"
832,"Arizona .....................     1,703,000","1,026,273      60.3       935,794      54.9       90,479      8.8"
833,"Arkansas ....................     1,571,000","919,681      58.5       859,108      54.7       60,573      6.6"
834,"California ..................    16,142,000","10,227,514      63.4     9,318,337      57.7      909,177      8.9"
835,"Los Angeles County .......     5,372,000","3,439,441      64.0     3,147,213      58.6      292,228      8.5"
836,"Colorado ....................     1,904,000","1,284,126      67.4     1,198,433      62.9       85,693      6.7"
837,"Connecticut .................     2,278,000","1,475,910      64.8     1,363,044      59.8      112,866      7.6"
838,"Delaware ....................       426,000","272,185      63.9       246,836      57.9       25,349      9.3"
839,"District of Columbia ........       514,000","330,687      64.3       300,193      58.4       30,494      9.2"
840,"Florida .....................     6,655,000","3,656,840      54.9     3,330,199      50.0      326,641      8.9"
841,"Georgia .....................     3,620,000","2,319,462      64.1     2,143,106      59.2      176,356      7.6"
842,"Hawaii ......................       604,000","415,929      68.9       382,233      63.3       33,696      8.1"
843,"Idaho .......................       605,000","389,446      64.4       366,823      60.6       22,623      5.8"
844,"Illinois ....................     8,252,000","5,223,076      63.3     4,908,178      59.5      314,898      6.0"
845,"Indiana .....................     3,851,000","2,461,636      63.9     2,319,534      60.2      142,102      5.8"
846,"Iowa ........................     2,102,000","1,372,340      65.3     1,318,874      62.7       53,466      3.9"
847,"Kansas ......................     1,666,000","1,097,568      65.9     1,052,164      63.2       45,404      4.1"
848,"Kentucky ....................     2,524,000","1,525,804      60.5     1,450,053      57.5       75,751      5.0"
849,"Louisiana ...................     2,757,000","1,566,229      56.8     1,458,109      52.9      108,120      6.9"
850,"Maine .......................       785,000","481,778      61.4       439,138      55.9       42,640      8.9"
851,"Maryland ....................     3,015,000","1,956,482      64.9     1,826,574      60.6      129,908      6.6"
852,"Massachusetts ...............     4,242,000","2,748,044      64.8     2,519,277      59.4      228,767      8.3"
853,"Michigan ....................     6,516,000","4,066,758      62.4     3,716,881      57.0      349,877      8.6"
854,"Minnesota ...................     2,848,000","1,903,458      66.8     1,794,378      63.0      109,080      5.7"
855,"Mississippi .................     1,681,000","987,695      58.8       916,058      54.5       71,637      7.3"
856,"Missouri ....................     3,521,000","2,187,601      62.1     2,050,903      58.2      136,698      6.2"
857,"Montana .....................       546,000","342,989      62.8       322,026      59.0       20,963      6.1"
858,"Nebraska ....................     1,111,000","735,463      66.2       711,533      64.0       23,930      3.3"
859,"Nevada ......................       483,000","344,802      71.4       317,643      65.8       27,159      7.9"
860,"New Hampshire ...............       619,000","413,113      66.7       387,748      62.6       25,365      6.1"
861,"New Jersey ..................     5,420,000","3,376,107      62.3     3,028,935      55.9      347,172     10.3"
862,"New Mexico ..................       830,000","505,526      60.9       463,015      55.8       42,511      8.4"
863,"New York ....................    13,241,000","7,699,013      58.1     6,948,749      52.5      750,264      9.7"
864,"New York city ............     5,637,000","3,061,448      54.3     2,745,188      48.7      316,260     10.3"
865,"North Carolina ..............     4,001,000","2,644,931      66.1     2,481,595      62.0      163,336      6.2"
866,"North Dakota ................       452,000","284,891      63.0       272,131      60.2       12,760      4.5"
867,"Ohio ........................     7,788,000","4,808,369      61.7     4,461,344      57.3      347,025      7.2"
868,"Oklahoma ....................     2,052,000","1,219,925      59.5     1,154,455      56.3       65,470      5.4"
869,"Oregon ......................     1,782,000","1,139,258      63.9     1,041,049      58.4       98,209      8.6"
870,"Pennsylvania ................     8,859,000","5,187,821      58.6     4,776,267      53.9      411,554      7.9"
871,"Rhode Island ................       703,000","443,847      63.1       406,380      57.8       37,467      8.4"
872,"South Carolina ..............     2,045,000","1,318,733      64.5     1,222,378      59.8       96,355      7.3"
873,"South Dakota ................       485,000","315,279      65.0       304,174      62.7       11,105      3.5"
874,"Tennessee ...................     3,167,000","1,925,963      60.8     1,798,864      56.8      127,099      6.6"
875,"Texas .......................     9,161,000","5,885,057      64.2     5,559,030      60.7      326,027      5.5"
876,"Utah ........................       857,000","542,953      63.4       513,602      59.9       29,351      5.4"
877,"Vermont .....................       349,000","223,807      64.1       206,944      59.3       16,863      7.5"
878,"Virginia ....................     3,642,000","2,384,337      65.5     2,248,658      61.7      135,679      5.7"
879,"Washington ..................     2,692,000","1,679,640      62.4     1,524,989      56.6      154,651      9.2"
